Nprocs,Time_taken
1,0.001042
2,0.000791
3,0.001309
4,0.001836
5,0.003784
6,0.003731
7,0.006037
8,0.004746
9,0.00657
10,0.008003
11,0.006552
12,0.008245
13,0.021982
14,0.026916
15,0.010986
16,0.014764
17,0.012256
18,0.01792
19,0.026391
20,0.048123
21,0.018994
22,0.021959
23,0.030973
24,0.04168
25,0.049241
26,0.046129
27,0.034559
28,0.035459
29,0.050623
30,0.048139
31,0.083195
32,0.05999
33,0.040893
34,0.090437
35,0.066853
36,0.069118
37,0.079023
38,0.0789
39,0.079488
40,0.094466
